R_hand : x,R_hand : y,R_hand : z,R_thumb : x,R_thumb : y,R_thumb : z,R_index : x,R_index : y,R_index : zx,R_middle : x,R_middle : y,R_middle : z,R_ring : x,R_ring : y,R_ring : z,R_pinky : x,R_pinky : y,R_pinky : z,R_hand_vec : x,R_hand_vec : y,R_hand_vec : z,R_fin_to_fin :x,R_fin_to_fin :y,R_fin_to_fin :z,R_dis_thumb,R_dis_index,R_dis_middle,R_dis_ring,R_dis_pinky,L_hand : x,L_hand : y,L_hand : z,L_thumb : x,L_thumb : y,L_thumb : z,L_index : x,L_index : y,L_index : zx,L_middle : x,L_middle : y,L_middle : z,L_ring : x,L_ring : y,L_ring : z,L_pinky : x,L_pinky : y,L_pinky : z,L_hand_vec : x,L_hand_vec : y,L_hand_vec : z,L_fin_to_fin :x,L_fin_to_fin :y,L_fin_to_fin :z,L_dis_thumb,L_dis_index,L_dis_middle,L_dis_ring,L_dis_pinky
65.62155,249.0478,34.05873,-8.89924,260.4388,23.94235,-45.12738,36.89984,-77.60513,-9.871674,43.99649,-90.15298,16.0145,44.12631,-81.8473,46.71104,28.30746,-63.90173,-0.09329599,-0.830285,-0.549475,35.25571,7.096649,-12.54784,261.6883,97.05996,100.8003,94.35346,84.06346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.75439,248.7007,33.81947,-8.638488,260.6102,23.79639,-44.90927,37.00291,-77.68661,-9.525253,44.04314,-90.17676,16.28066,44.03624,-81.85474,46.96932,28.18434,-63.81363,-0.09491566,-0.8303462,-0.549105,35.38402,7.040222,-12.49015,261.8369,97.06321,100.8086,94.36338,84.09907,-169.5895,204.0402,33.59187,-107.8509,223.7011,40.29349,62.63317,26.42207,-56.5292,46.57212,28.44576,-77.5048,24.83939,19.64323,-83.34161,-3.800278,3.375839,-79.10488,0.5736408,-0.7653583,-0.2918269,-16.06105,2.023682,-20.9756,251.5901,88.41148,94.78986,89.15535,79.26803
65.7998,248.5916,33.73756,-8.547667,260.7219,23.77036,-44.82786,37.06601,-77.70566,-9.404701,44.01218,-90.19984,16.38679,44.02426,-81.84615,47.11575,28.19003,-63.74405,-0.09567626,-0.8302491,-0.5491198,35.42316,6.946167,-12.49418,261.9427,97.0649,100.8044,94.36872,84.13011,-167.9007,208.3635,33.68127,-108.0095,234.2593,44.08205,60.4621,33.85764,-54.92635,44.28735,35.28273,-76.02083,23.44827,24.92693,-82.3284,-4.218613,6.403214,-79.01146,0.6375104,-0.7023168,-0.3167518,-16.17475,1.425095,-21.09448,261.6996,88.4246,94.79139,89.15794,79.38268
65.91615,248.386,33.63164,-8.362508,260.7909,23.68266,-44.68787,37.19797,-77.7292,-9.206409,44.03833,-90.20612,16.5821,44.05154,-81.80774,47.31354,28.198,-63.63734,-0.09656993,-0.8299236,-0.5494553,35.48146,6.840363,-12.47692,261.9975,97.06969,100.8032,94.38226,84.16299,-164.2175,216.6801,32.75027,-107.0783,249.9984,50.10792,56.11719,42.98528,-53.29688,38.66073,43.9897,-74.57724,19.08563,32.21884,-80.96104,-7.371124,11.3615,-78.41148,0.6899627,-0.6210087,-0.3718866,-17.45646,1.004425,-21.28036,276.5425,88.52926,94.82358,89.20205,79.57246
66.14629,248.255,33.60437,-8.091893,260.7273,23.63233,-44.62795,37.21091,-77.76728,-9.104843,44.01422,-90.23141,16.66187,43.97226,-81.84383,47.42349,28.2309,-63.57478,-0.09585913,-0.8302312,-0.5491149,35.52311,6.803314,-12.46414,261.9211,97.07758,100.806,94.39062,84.18861,-159.9496,222.6868,30.37861,-102.4451,257.7556,53.10161,53.32696,46.43092,-53.58776,33.66497,47.7628,-74.77853,14.16647,36.26778,-80.42638,-11.76512,14.69685,-77.48639,0.6764289,-0.5997056,-0.4275478,-19.66199,1.331879,-21.19076,282.4053,88.72002,94.90228,89.35571,79.74055
66.26469,248.238,33.54968,-7.922044,260.9075,23.60107,-44.52983,37.22552,-77.82292,-8.941513,44.00684,-90.26036,16.78305,43.87442,-81.87968,47.51923,28.14066,-63.55537,-0.09622488,-0.8306546,-0.5484101,35.58832,6.781311,-12.43743,262.0925,97.08271,100.8141,94.39765,84.19773,-156.3062,227.6246,28.08874,-98.88365,263.804,56.14008,52.36755,46.6275,-54.62497,30.95831,48.45987,-75.62115,10.43842,38.43555,-80.28496,-15.08955,16.17995,-76.83839,0.6484303,-0.6099,-0.4555877,-21.40923,1.832367,-20.99618,287.2669,88.88403,95.00176,89.62102,79.96014
66.34633,248.2333,33.50558,-7.777203,261.0723,23.55271,-44.42527,37.19397,-77.90561,-8.788494,43.95465,-90.3065,16.90446,43.79129,-81.90409,47.62904,28.07181,-63.51691,-0.09567486,-0.8312294,-0.547635,35.63678,6.760681,-12.40089,262.2479,97.08904,100.8192,94.40189,84.20777,-151.9136,231.6921,24.71872,-94.46822,268.2034,57.12482,52.0983,46.48772,-55.28679,28.94143,49.33583,-76.07509,8.057724,40.22618,-79.96923,-17.27391,17.21182,-76.39577,0.6222596,-0.6251934,-0.4710905,-23.15688,2.848114,-20.7883,290.0355,89.06161,95.17904,89.87853,80.19319
66.49069,248.1753,33.49152,-7.586098,261.0566,23.45956,-44.33277,37.2097,-77.9696,-8.650497,43.91115,-90.34641,17.02791,43.75603,-81.90858,47.72475,28.03587,-63.47078,-0.09431676,-0.8317841,-0.5470279,35.68227,6.701447,-12.37681,262.2183,97.10414,100.8241,94.41163,84.21521,-147.3764,234.2356,22.21351,-90.39567,271.7968,56.23306,51.18851,47.41798,-55.72076,26.50891,50.78474,-76.31364,6.38974,40.6989,-80.07833,-19.02245,17.30838,-76.18571,0.6149693,-0.6310118,-0.4729026,-24.6796,3.36676,-20.59289,291.9025,89.29463,95.42319,90.05425,80.40955
66.55389,248.1437,33.51511,-7.471896,261.1088,23.44914,-44.28317,37.2702,-77.98131,-8.577557,43.89792,-90.3627,17.09797,43.72946,-81.91389,47.77402,27.98477,-63.46092,-0.09437308,-0.83198,-0.5467201,35.70561,6.627716,-12.38139,262.2661,97.11412,100.8267,94.41659,84.21872,-145.3443,235.3992,20.93253,-88.9678,273.8601,55.53081,50.54897,48.2813,-55.78622,25.71149,51.11687,-76.46999,5.690552,40.72652,-80.19927,-19.79633,17.21071,-76.11752,0.617299,-0.630819,-0.4701163,-24.83749,2.835571,-20.68377,293.2546,89.43369,95.50746,90.12743,80.51074
66.63047,248.0411,33.54177,-7.268205,261.218,23.41493,-44.17006,37.33475,-78.03204,-8.423019,43.85464,-90.40187,17.24197,43.67456,-81.92047,47.87686,27.90988,-63.42014,-0.09412476,-0.8323678,-0.5461725,35.74704,6.519897,-12.36983,262.366,97.12815,100.8299,94.42307,84.22155,-141.4186,237.3538,17.51152,-85.18232,276.6216,52.33442,49.75396,49.00197,-56.4042,24.77504,50.62166,-77.28989,4.029968,40.7784,-80.50918,-21.32143,16.72612,-76.02708,0.606876,-0.6458103,-0.4632824,-24.97892,1.61969,-20.88569,294.1334,89.76682,95.65607,90.3374,80.71235
